2路 火车站-展览馆-新路口-河滨公园-次南门-大西门-紫林庵-客车站-枣山路-黔灵公园-瑞北路口-博物馆-六广门-云岩广场-喷水池-大十字-邮电大楼-新路口-展览馆-火车站:{6:00-23:00}
K2路 0八三厂-万江机电-肉联厂-温泉路口-新添寨-贵工分校-茶店-大营坡-贵州日报社-师大-喷水池:{6:30-18:30}
3路↑ 师大-喷水池-紫林庵-客车站-头桥-转弯塘-二桥-公交三公司-三桥-三桥水果市场-后坝-枫丹白鹭花园-贵黄交警支队-工学院:{6:30-23:00}
3路↓ 工学院-贵黄交警支队-枫丹白鹭花园-后坝-三桥水果市场-三桥-公交-二桥三公司-转弯塘-头桥-客车站-紫林庵-喷水池-师大:{6:30-23:00}
K3路 贵阳普天-轮胎厂-金关钢材市场-天然居花园-省地勘院-三桥-二桥-头桥-客车站-喷水池:{6:30-18:30}
30↓ 北新区路-八鸽岩路-省防疫站-省工商局-安云路口-环城北路-上合群路-黔灵西路口-黔灵西路-喷水池-大十字-市一医-次南门-河滨公园-新路口-箭道街路口-兴关路口-兴关路-营盘路口-营盘小学-营盘路-笔山路口-水利机械公司 :{水利机械公司-八鸽岩路06:30-22:00}
31↑ 省公路职教中心-桃源渡假村-申一厂-马王庙-三十中-新街-三桥立交桥-三桥-公交三公司-二桥-转弯塘-头桥-枣山路-威清路-威清路口-黔灵西路-黔灵西路口-喷水池-小十字-中山东路-省医-观水路-水口寺-水口寺大桥-红岩路-红岩桥 :{6:30-22:00}
31↓ 红岩桥-红岩路-水口寺大桥-水口寺-观水路-省医-中山东路-大十字-喷水池-黔灵西路口-黔灵西路-威清路口-威清路-枣山路-头桥-转弯塘-二桥-公交三公司-三桥-新街-三十中-马王庙-申一厂-桃源渡假村-省公路职教中心 :{6:30-22:00}
32↑ 金关村-金关小区-金关钢材市场-天然居花园-省地堪院-车管所-三桥水果市场-后坝-枫丹白鹭花园-贵黄交警支队-工学院-五里冲-南明殡仪中心-野猫井-湘雅村-花果园-花香村-经干院-浣沙桥-枣山路-威清路-威清路口-四中-紫林庵-公园北路-省府西路-小十字-中山东路-省医-阳明祠-东山公园 :{6:30-21:00}
32↓ 东山公园-东山路-阳明祠-省医-中山东路-小十字-省府西路-公园北路-紫林庵-四中-威清路口-威清路-枣山路-浣沙桥-经干院-花香村-花果园-湘雅村-野猫井-五里冲-工学院-贵黄交警支队-枫丹白鹭花园-后坝-三桥水果市场-车管所-省地堪院-天然居花园-金关钢材市场-金关小区-金关村 :{6:30-21:00}
33↑ 工学院-南明殡仪中心-五里冲-野猫井-湘雅村-花果园-花香村-经干院-浣沙桥-枣山路-黔灵公园-瑞北路口-博物馆-盐务街口-贵医-贵开路-大营坡-化工路口-省二医-计质检所-茶店-中天花园路口-贵工分校-冒沙井-新添花卉市场 :{6:30-21:00}
33↓ 新添花卉市场-冒沙井-贵工分校-中天花园路口-茶店-计质检所-省二医-化工路口-大营坡-贵开路-贵医-盐务街口-交际处-博物馆-瑞北路口-黔灵公园-枣山路-浣沙桥-经干院-花香村-花果园-湘雅村-野猫井-五里冲-工学院 :{6:30-21:00}
34↑ 花果园-狮峰路口-花香村-大西门-公园路-公园北路-下合群路-黔灵西路口-黔灵东路-文昌北路-莲花坡-东门-大南门-纪念塔-市南路-市南路口-红拖-油榨街-青年路-省假肢厂-东新区路-水口寺大桥-红岩路-红岩桥 :{6:30-21:30}
34↓ 红岩桥-红岩路-水口寺大桥-东新区路-省假肢厂-青年路-油榨街-红拖-市南路口-市南路-纪念塔-大南门-东门-莲花坡-文昌北路-黔灵东路-黔灵西路口-下合群路-公园北路-公园路-大西门-花香村-狮峰路口-花果园 :{6:30-21:30}
35↑ 五里冲-南明殡仪中心-野猫井-湘雅村-花果园-市交警支队-大昌隆-空招-陈家坡-蓑草路口-红拖-油榨街-团坡桥-宝山南路-观水路 :{6:30-21:00}
35↓ 观水路-宝山南路-团坡桥-油榨街-红拖-蓑草路口-陈家坡-空招-沙冲路口-体育馆-市交警支队-花果园-湘雅村-野猫井-五里冲 :{五里冲-水口寺大桥06:30-21:00}
36↑ 大营坡-大营路-贵州日报社-相宝山-师大-喷水池-紫林庵-客车站-浣沙桥-经干院-花香村-大昌隆-解放桥-四医-解放西路-五眼桥-玉厂路-南明区法院 :{6:30-22:00}
36↓ 南明区法院-玉厂路-五眼桥-解放西路-四医-解放桥-市交警支队-体育馆-花香村-经干院-浣沙桥-客车站-紫林庵-喷水池-师大-相宝山-贵州日报社-大营路-大营坡 :{6:30-22:00}
37↑ 贵大科技学院-南垭路口-南馨苑-黔灵村-小关花卉市场-扁井-省府后门-市北路-六广门-和平路-陕西路-富水北路-省府路口-小十字-富水南路-大南门-纪念塔-陈家坡-蓑草路口-红拖-油榨街 :{6:30-22:00}
37↓ 油榨街-红拖-蓑草路口-陈家坡-纪念塔-大南门-富水南路-小十字-富水北路-陕西路-和平路-六广门-六中-市北路-扁井-小关花卉市场-黔灵村-南馨苑-南垭路口-贵大科技学院 :{6:30-22:00}
38↑ 圣泉流云花园-中坝路-女子职业学校-圣泉路口-三桥农资中心-三桥立交桥-三桥三公司-二桥-转弯塘-头桥-浣沙桥-经干院-花香村-星云家电城-次南门-河滨公园-新路口-箭道街路口-纪念塔-陈家坡-南厂路-军区一招-军区二招-武岳新村-军区干休所 :{6:30-22:00}
