1路↑ 香洲-南坑-桃园新村-银桦新村-新村-南村-香洲区府-仁恒星园-安居园-新香洲万家-上冲-明珠北-翠微-招商花园城南-海纳石鸣苑-中山亭-瀚林苑-前山-银石雅园-兰埔-北岭-华侨宾馆-华润万家-拱北:{6:20-0:25}
1路↓ 拱北-拱北口岸-口岸广场-华润万家-华侨宾馆-北岭-兰埔-圆明新园-银石雅园-前山-瀚林苑-中山亭-海纳石鸣苑-招商花园城南-翠微-明珠北-上冲-新香洲万家-安居园-仁恒星园-香洲区府-南村-新村-银桦新村-桃园新村-南坑-香洲:{6:20-0:25}
观光01线↑ 石景山-九洲城-吉大-中电大厦-白莲洞公园-竹苑-兰圃-圆明新园-银石雅园-前山西门-明珠商业广场-翠景工业区-翠薇-明珠北-上涌村-公交花园-长沙-梅溪牌坊-农科奇观-东坑新村-东坑公园-绿知农庄-东坑市场-东坑-凤凰山-普陀寺:{06:45}
18↓ 中大五院-华子石东-华子石西-梅华东-党校-大镜山-城市广场-名街花园-金桦花园-红山路南-香洲区府-仁恒星园-三台石北-世邦家居世界-凤山工业城-招商花园城南-翠景工业区-明珠商业广场-漾湖明居-前山港-前山桥东-奥特美会所-华发新城总站 :{华发新城总站6:30-20:55}
20↑ 吉大总站-海滨南-信海大厦-园林西-吉大-九洲城-海滨公园-公积金中心-人民医院-二中-滨海楼-南香里-香宁花园-柠溪-武警支队-卓雅花园-暨大北门-凤山工业城-招商花园城-翠花苑 :{6:10-22:20}
20↓ 翠花苑-招商花园城-凤山工业城-暨大北门-卓雅花园-武警支队-柠溪-香宁花园-南香里-滨海楼-二中-人民医院-湾仔沙-公积金中心-海滨公园-九洲城-中医院-信海大厦-海滨南-吉大总站 :{吉大总站6:10-22:20}
21↑ 吉大总站-免税商场-中医院-景乐南-交行大厦-中电大厦-白莲洞公园-竹苑-桂花北-桂花中-合罗山-供水总公司-银石雅园南-海荣新村-港昌中-拱北工商分局-夏湾 :{6:25-22:05}
21↓ 夏湾-拱北工商分局-港昌中-港一路-银石雅园南-供水总公司-合罗山-桂花中-桂花北-竹苑-白莲洞公园-建业一路-中电大厦-园林西-信海大厦-海滨南-吉大总站 :{吉大总站6:25-22:05}
22↑ 嘉园-嘉园东-翠微-明珠北-上冲-新香洲万家-安居园-仁恒星园-香洲区府-南村-公交新村-石竹苑-隧道北-隧道南-竹苑-白莲洞公园-建业一路-中电大厦-水湾北-华景花园-度假村-九洲花园-石花东-九洲港 :{6:20-21:30}
22↓ 九洲港-九洲花园-度假村-华景花园-水湾北-中电大厦-白莲洞公园-竹苑-隧道南-隧道北-石竹苑-公交新村-南村-香洲区府-仁恒星园-安居园-新香洲万家-上冲-明珠北-翠微-嘉园东-嘉园 :{嘉园6:20-21:30}
23↑ 嘉园-嘉园东-翠微-明珠北-上冲-翠前小学-旺角百货-富康花园-体育中心西-梅华中-行政服务中心-金桦花园-名街花园-农信大厦-兴业中-保健院-香宁花园-青竹花园-吉柠北-吉大水库-四中-工业学校-通信大厦-中医院-信海大厦-珠海电台-洲仔-九洲港-九洲花园-情侣南路北-情侣南路中 :{6:15-22:10}
23↓ 情侣南路中-情侣南路北-九洲花园-九洲港-洲仔-珠海电台-信海大厦-园林西-吉大-通信大厦-工业学校-四中-吉大水库-吉柠北-香宁花园-保健院-兴业中-名街花园-金桦花园-行政服务中心-梅华中-市公汽公司-富康花园-旺角百货-翠前小学-上冲-明珠北-翠微-嘉园东-嘉园 :{嘉园6:15-22:10}
25↑ 九洲港-石花东-九洲新村-海洲路口-君怡花园-烟墩山-九洲城-吉大-中电大厦-白莲洞公园-竹苑-兰埔-圆明新园-银石雅园-前山桥东-华发新城-南屏街口-南泉路口-南屏中学-泰桦广场-南屏水库-蓝溪枫景-珠光汽车公司-广生-南屏果场-屏西二路-屏北三路东-屏北三路中-进成公司-屏北三路西 :{6:15-22:50}
