1路 淮西客运站-市中级法院-公交修造厂-段南新村-段庄-矿务局-工人(口腔)医院-市二院-古彭大厦-供销/华联大厦-万虹桥文化宫-火车东站:{5:45-00:30}
1路附 新一佳淮西店-段庄-段南新村-徐医附院西院-公交修造厂-市中级法院-淮西客运站-三环西路环岛-杏山工业园-开元四季花园:{6:20-17:30}
游1路↑ 矿大南湖校区-泉山公园-泉山法院-双山-风华园-矿业大学-候山窝-奎园西门-纪念塔-市四院-和平路-戏马台-市政府-中山堂-民主路小学-爱牙医院(市三院)-堤北-化机厂-电力医院-轻工路口-王场新村:{6:15-19:00}
游1路↓ 王场新村-王场新村东门-二环北路-堤北市场-堤北-爱牙医院(市三院)-民主路小学-中山堂-市政府-戏马台-和平路-市四院-纪念塔-奎园西门-侯山窝-矿业大学-风华园-双山-泉山法院-泉山公园-矿大南湖校区:{6:15-19:00}
2路 火车东站-天桥-铁路分局-南郊宾馆-师大北门-中医院-中山饭店-市交通银行-九州大厦-市一院-金地商都-北路口-火车西站-坝子街-市三院-烟厂-火车东站:{5:50-20:00}
游2路 建筑学院-师大新校-文沃市场-风华南苑-风华园-矿业大学-候山窝-奎园西门-纪念塔-市四院-和平路-南郊宾馆-袁桥(民主路)-开明市场-民主南路-文化宫-第三中学-延平路-牌楼-夹河街东口-第一中学-夹河街西口-欧洲商城-工商局-电视塔-云龙公园西门-体育场西门-云龙山隧道-滨湖公园东门-汉画像石馆-云龙山索道-金山公园-金泰小区-市财校-营房西门-营房东门-孟庄公寓-泰山汇景花园-大学城-矿业大学-翟山-翟山市场-铜山中学-师大新校-建筑学院:{6:00-19:00}
23↑ 火车东站-天桥-铁路分局-南郊宾馆-和平路-市四院-奎园北门-农副产品市场-陶瓷市场-汽车南站-技工学校-淮海食品城-两山口-建材市场-沟北头-火神庙-沟杨庄-冯庄-宋桥-棠张-缫丝厂-双井-牌坊-马兰 :{6:25-18:30}
23↓ 马兰-牌坊-双井-缫丝厂-棠张-宋桥-冯庄-沟杨庄-火神庙-沟北头-建材市场-两山口-淮海食品城-技工学校-汽车南站-陶瓷市场-农副产品市场-奎园北门-市四院-和平路-南郊宾馆-铁路分局-天桥-火车东站 :{6:25-18:30}
24↑ 江庄-九七医院-东甸子-工人村-圆盘道-矿医院-虎山-新大吴-建平-老大吴-蔡庄-韩园-鹿庄-韩场-海霸酒店-海螺水泥厂-宣武市场 :{}
24↓ 宣武市场-海螺水泥厂-海霸酒店-韩场-鹿庄-韩园-蔡庄-老大吴-建平-新大吴-虎山-矿医院-圆盘道-工人村-东甸子-九七医院-江庄 :{}
25↑ 贾汪-贾汪客运站-贾汪烟草公司-贾汪电影院-贾汪二院-东方宾馆-贾汪电业局-北宿舍-老东门-夏桥-新夏路口-东方热电厂-贾汪工业园-韩场-鹿庄-韩园-蔡庄-老大吴-建平-新大吴-解台(招呼站)-虎山-大黄山矿一院-大黄山圆盘道-工人村-东甸子-九七医院(单)-火车东站 :{5:00-21:30}
25↓ 火车东站-九七医院(单)-东甸子-工人村-大黄山圆盘道-大黄山矿一院-虎山-解台(招呼站)-新大吴-建平-老大吴-蔡庄-韩园-鹿庄-韩场-贾汪工业园-东方热电厂-新夏路口-夏桥-老东门-北宿舍-贾汪电业局-东方宾馆-贾汪二院-贾汪电影院-贾汪烟草公司-贾汪客运站-贾汪 :{5:00-21:30}
26路 机电高职校-师大贾汪分校-七中路口-泉东村-新工区-泉西村-新夏路口-东方热电厂-贾汪工业园-韩场-鹿庄-韩园-蔡庄-老大吴-建平-新大吴-解台(招呼站)-虎山-大黄山矿一院-大黄山圆盘道-工人村-东甸子-九七医院(单)-火车东站:{5:40-19:00}
26路附 贾汪-贾汪烟草公司-贾汪电影院-贾汪二院-东方宾馆-贾汪电业局-北宿舍-老东门-夏桥-新夏路口-泉西村-新工区-泉东村-七中路口-师大贾汪分校-矿技校:{5:30-18:50}
27↑ 贾汪-贾汪客运站-贾汪烟草公司-贾汪电影院-贾汪二院-东方宾馆-贾汪电业局-北宿舍-老东门-夏桥-二机厂-韩桥路口-四清矿-姚庄-三号井-青山泉-白集路口-唐庄新村-老马庄-新马庄-青山泉 :{5:40-17:40}
27↓ 青山泉-新马庄-老马庄-唐庄新村-白集路口-青山泉-三号井-姚庄-四清矿-韩桥路口-二机厂-夏桥-老东门-北宿舍-贾汪电业局-东方宾馆-贾汪二院-贾汪电影院-贾汪烟草公司-贾汪客运站-贾汪 :{5:40-17:40}
